NAME,URL
wazuh-documentation,https://github.com/wazuh/wazuh-documentation
abame.github.io,https://github.com/abame/abame.github.io
civicrm-l10n-extensions,https://github.com/civicrm/civicrm-l10n-extensions
Mist-Web,https://github.com/AshAritra/Mist-Web
WebSite,https://github.com/FOXTetsuo/WebSite
laws,https://github.com/liberland/laws
authelia,https://github.com/authelia/authelia
docs,https://github.com/simpleanalytics/docs
QRPet,https://github.com/thereseml/QRPet
services-site,https://github.com/duosplit/services-site
Appicket.Analytics,https://github.com/kartegagithub/Appicket.Analytics
almitte.github.io,https://github.com/almitte/almitte.github.io
tuhrig.github.io,https://github.com/tuhrig/tuhrig.github.io
knowledge,https://github.com/ASafaeirad/knowledge
clock-frontend,https://github.com/ClockGU/clock-frontend
12345mighty.oak.medical.io,https://github.com/Mighty-Oak-Medical-Software-Development/12345mighty.oak.medical.io
roprime-simulator.com,https://github.com/Kordasauter/roprime-simulator.com
tepelne-izolace,https://github.com/OndrejJuda/tepelne-izolace
opencart-3,https://github.com/opencart/opencart-3
jorangetree.github.io,https://github.com/jorangetree/jorangetree.github.io
proto_mb,https://github.com/ESNFranceG33kTeam/proto_mb
moodle-block_messageteacher,https://github.com/marxjohnson/moodle-block_messageteacher
advertising.en,https://github.com/AdobeDocs/advertising.en
ad-sdk,https://github.com/Appyhigh/ad-sdk
cloudy-website,https://github.com/cloudy-net/cloudy-website
clauswitfelt.github.io,https://github.com/clauswitfelt/clauswitfelt.github.io
restaurant,https://github.com/n-vh/restaurant
pictusweb-vite,https://github.com/pkvarg/pictusweb-vite
mailchimp-for-wordpress,https://github.com/ibericode/mailchimp-for-wordpress
nixos-config,https://github.com/DarkKirb/nixos-config
history-form,https://github.com/AxelRude/history-form
Advert-Eyez-Website-V1.2023,https://github.com/wanjar/Advert-Eyez-Website-V1.2023
the.lastgimbus.com,https://github.com/TheLastGimbus/the.lastgimbus.com
sito_mrtecno_front-end,https://github.com/Paolo95/sito_mrtecno_front-end
olena-rudenko.github.io,https://github.com/olena-rudenko/olena-rudenko.github.io
drawio,https://github.com/cholland2512/drawio
FlatironOpenSource,https://github.com/umuthopeyildirim/FlatironOpenSource
prayer-remix,https://github.com/thec3uk/prayer-remix
analytics.en,https://github.com/AdobeDocs/analytics.en
Portfolio_Projects,https://github.com/ElinXr/Portfolio_Projects
PPDM_Dev_Prototype_Odoo,https://github.com/Leela-Consultancy/PPDM_Dev_Prototype_Odoo
StoryBot,https://github.com/2br-2b/StoryBot
astarwebsite_v2,https://github.com/AstarNetwork/astarwebsite_v2
vibe-check,https://github.com/lmccart/vibe-check
saas-landing-page,https://github.com/VektorTech/saas-landing-page
IT_projekt_GGB_2023,https://github.com/Kenarv/IT_projekt_GGB_2023
yjdh,https://github.com/City-of-Helsinki/yjdh
S6_InvoiceServiceDA,https://github.com/MarcoWeel/S6_InvoiceServiceDA
intastellar-gdpr-cookiebanner,https://github.com/felixaschultz/intastellar-gdpr-cookiebanner
aumount-docs,https://github.com/Sev6nOfficial/aumount-docs
rop,https://github.com/Stewartko/rop
CoreServices,https://github.com/Vier1996/CoreServices
aetesis_frappe_customizations,https://github.com/aeteseb/aetesis_frappe_customizations
Recommender_System_User-client,https://github.com/D18130495/Recommender_System_User-client
vgamepref-datacoll,https://github.com/Rastark/vgamepref-datacoll
MongooseIM,https://github.com/esl/MongooseIM
WorKx,https://github.com/KXzeno/WorKx
ca-wellbeing,https://github.com/flischewski1/ca-wellbeing
campify,https://github.com/albamatas/campify
kanojo,https://github.com/kanojo-db/kanojo
livesubtitleweb,https://github.com/PresidentialAnt/livesubtitleweb
NamesLoL-Frontend,https://github.com/bricefrisco/NamesLoL-Frontend
berth-reservations,https://github.com/City-of-Helsinki/berth-reservations
gavinanderegg.github.io,https://github.com/gavinanderegg/gavinanderegg.github.io
oo-wp-plugin,https://github.com/onOffice-Web-Org/oo-wp-plugin
BookViewerApp3,https://github.com/kurema/BookViewerApp3
python-snippets,https://github.com/davidseanarms/python-snippets
pcos-norge,https://github.com/stephenramthun/pcos-norge
gretel-blueprints,https://github.com/gretelai/gretel-blueprints
lbedogni.github.io,https://github.com/lbedogni/lbedogni.github.io
PortfolioReact,https://github.com/NikolaosKalfas/PortfolioReact
dynamics-365-customer-engagement,https://github.com/MicrosoftDocs/dynamics-365-customer-engagement
blm2,https://github.com/bratkartoffel/blm2
omniaevo.github.io,https://github.com/Omniaevo/omniaevo.github.io
userscripts,https://github.com/Conduitry/userscripts
S6_ShopServiceDa,https://github.com/MarcoWeel/S6_ShopServiceDa
DFDL,https://github.com/OpenGridForum/DFDL
GDPRuler,https://github.com/dimstav23/GDPRuler
InfinityTiles,https://github.com/dev-revati/InfinityTiles
yacht,https://github.com/tabask0/yacht
riassunti-uni,https://github.com/Samu01Tech/riassunti-uni
Repository-Template,https://github.com/A-mazing-Team/Repository-Template
SoleCoolerG6,https://github.com/LiveCampusProject/SoleCoolerG6
IndividualProject2022,https://github.com/Iryvern/IndividualProject2022
YarnTest1,https://github.com/Pradeep72762/YarnTest1
oopspam.github.io,https://github.com/OOPSpam/oopspam.github.io
acs6121,https://github.com/lincaolab/acs6121
Localldentity.github.io,https://github.com/Localldentity/Localldentity.github.io
adfilt,https://github.com/DandelionSprout/adfilt
TormStorm.github.io,https://github.com/TormStorm/TormStorm.github.io
hmpps-env-configs,https://github.com/ministryofjustice/hmpps-env-configs
OkayuCDN,https://github.com/okawaffles/OkayuCDN
S6_InvoiceService,https://github.com/MarcoWeel/S6_InvoiceService
drupal-helfi-tyollisyyspalvelut-manuaali,https://github.com/City-of-Helsinki/drupal-helfi-tyollisyyspalvelut-manuaali
dynamic-modelling,https://github.com/jpadfield/dynamic-modelling
avss-simposiom-subscription,https://github.com/ClaudiuBogdan/avss-simposiom-subscription
ETN-UI,https://github.com/eigentrustnetwork/ETN-UI
SA_ClientCenter,https://github.com/hank1224/SA_ClientCenter
apy-fi,https://github.com/wappulehti-apy/apy-fi
verartis.com,https://github.com/cdelledonne/verartis.com
sauce-docs,https://github.com/saucelabs/sauce-docs
heart,https://github.com/pancake-llc/heart
ros,https://github.com/tom-howard/ros
flotasser,https://github.com/flotasser/flotasser
example,https://github.com/vecna/example
bcd,https://github.com/jasonlyles/bcd
Recommender_System-server,https://github.com/D18130495/Recommender_System-server
diva,https://github.com/FraunhoferISST/diva
Book-Splendor,https://github.com/MichalaNybroe/Book-Splendor
ind_biometrics_appt_checker,https://github.com/AmeliaMargaurite/ind_biometrics_appt_checker
swetrix-api,https://github.com/Swetrix/swetrix-api
marihanchan,https://github.com/dsv-su/marihanchan
freesewing,https://github.com/freesewing/freesewing
the-green-spot,https://github.com/hauke96/the-green-spot
js21-software-life-cycle-project-2,https://github.com/felix-tjernberg/js21-software-life-cycle-project-2
ecommerce,https://github.com/SgruntJs/ecommerce
prebid.github.io,https://github.com/prebid/prebid.github.io
flying_forward_2020_project,https://github.com/K-San-official/flying_forward_2020_project
IsaacDocs,https://github.com/wofsauge/IsaacDocs
curriculum,https://github.com/HackYourFuture-CPH/curriculum
repository_remoto,https://github.com/Teodulfo/repository_remoto
drupal-helfi-form-tool,https://github.com/City-of-Helsinki/drupal-helfi-form-tool
email-lexoffice,https://github.com/hrehman200/email-lexoffice
drupal-project-k8s,https://github.com/wunderio/drupal-project-k8s
sogrow,https://github.com/sogrow/sogrow
babysitter-card,https://github.com/kiffys-code/babysitter-card
lzeuch.de,https://github.com/l-zeuch/lzeuch.de
public-website,https://github.com/openartcoded/public-website
Spotify,https://github.com/seb99seb/Spotify
S6_ShopService,https://github.com/MarcoWeel/S6_ShopService
SEP6_MyMovie,https://github.com/OZoneSQT/SEP6_MyMovie
adamkumlin.se,https://github.com/adamkumlin/adamkumlin.se
shrosengren.github.io,https://github.com/shrosengren/shrosengren.github.io
design.swedbankpay.com,https://github.com/SwedbankPay/design.swedbankpay.com
Course-Notes,https://github.com/marb61a/Course-Notes
Prebid.js,https://github.com/prebid/Prebid.js
shopify-crm-zoho,https://github.com/w3scloud/shopify-crm-zoho
BetterGreenlead,https://github.com/MadsPalu/BetterGreenlead
events-made-easy,https://github.com/liedekef/events-made-easy
python-web-scrapers,https://github.com/vdwow/python-web-scrapers
app,https://github.com/santiment/app
stlObjecterFront,https://github.com/gordonmaloney/stlObjecterFront
blog,https://github.com/ankschoubey/blog
rdf,https://github.com/aamedina/rdf
HolidayTree,https://github.com/kseniiaivanova/HolidayTree
pro-assistant,https://github.com/prism-be/pro-assistant
normuradov,https://github.com/pharrukh/normuradov
frontend,https://github.com/podkrepi-bg/frontend
maevsi,https://github.com/maevsi/maevsi
ZiiQue-Frontend,https://github.com/zeroject/ZiiQue-Frontend
gustegarden,https://github.com/tochman/gustegarden
Watcher-CRM,https://github.com/Mapiiik/Watcher-CRM
styleguide,https://github.com/helsingborg-stad/styleguide
www-project-ai-security-and-privacy-guide,https://github.com/OWASP/www-project-ai-security-and-privacy-guide
ndlegal,https://github.com/PavelNecas/ndlegal
kometa-tabory,https://github.com/Kapaak/kometa-tabory
firely-docs-firely-server,https://github.com/FirelyTeam/firely-docs-firely-server
web2-2022-project-group-02,https://github.com/e-vinci/web2-2022-project-group-02
leukeleu-django-gdpr,https://github.com/leukeleu/leukeleu-django-gdpr
niklaschroust,https://github.com/adrnc/niklaschroust
